title,input,choices,target,target_index,task_description
A and A's Waltz,"M:3/4
L:1/4
K:G
e|:""G""d2B|""D""A3/2B/2c","['""G""d2B', '""D""A2e', '""D""A3/2B/2c', '""G""B2G']",3102,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Black Boy,"M:2/4
L:1/4
K:A|:""A""A ""E""c/4B/4A/4G/4|""A""A/2c/2 e/2a/2","['""E""g/2b/2 e/2d/2', '\
""A""c/2e/2 ""B""^d/2f/2', '""A""c/2AB/2', '""E""e/2ge/2']",0213,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Bobbin Mill Reel,"M:4/4
L:1/4
K:D
A/2|:""D""d/2c/2d/2e/2 fA|""G""Be ""A""cA","['""G""Be ""A""cA', '""D""d/2c/2d/2e/2 f/2e/2d/2c/2', '""D""d/2c/2d/2e/2 f/2e/2d/2c/2', '""Em""Be ""A""aA']",1320,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Bonnie Kate,"M:4/4
L:1/4
K:G
f|:""G""g3/2a/2 ""D""gf|""G""gd2e","['""G""B"" Em""G2A/2B/2', '""G""BG2A', '""C""dc ""D""BA', '\
""Am""c"" D""A2B/2c/2', '""G""Bd ""C""cB']",21034,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Busker Brag,"M:4/4
L:1/4
K:C|:""G7""ff ed|ff/2f/2 ed","['cc AG', '""C""c3/2A/2 G3/2A/2', '""G7""ff ed', 'f/2ff/2 ed']",1023,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Caymann Reel,"M:4/4
L:1/4
K:A
""A""EA/2B/2 E/2c/2B/2E/2|c/2B/2A c2|""A""EA/2B/2 E/2c/2B/2E/2","['""A""c/2B/2A ""E""B2', 'c/2B/2A A2', '""A""EA/2B/2 E/2c/2B/2E/2', '""A""c/2e/2a a=G', '""D""F/2A/2B ""A""A2:']",12034,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Chaco Waltz,"M:3/4
L:1/4
K:Bb|""Gm""[G2B2][Ac]|[Bd][Ac][GB]","['[^F2A2][GB]', '[Ac][GB][FA]', '""Gm""[G/2B/2][G/2B/2][GB][Ac]', '""D""[A/2c/2][A/2c/2][Ac][Bd]', '[c3e3]']",34012,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Chestnut Reel,"M:4/4
L:1/4
K:G
P:A
^G/2A/2^A/2
P:B|:""G""B/2G/2B/2d/2 g/2d/2B/2G/2|""C""AA A2","['""D""A/2F/2A/2c/2 A/2e/2d/2c/2\', '""G""B/2G/2B/2d/2 g/2d/2B/2G/2', '""C""AA A2', '""D""A/2F/2A/2c/2 A/2f/2e/2f/2', '""G""BG G/2^G/2A/2^A/2']",04123,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Cuillin Reel,"M:4/4
L:1/4
K:G
P:A
d
P:B|:""G""gd/2g/2 B/2g/2d/2g/2|""Am""e/2d/2c/2d/2 ""D""e/2d/2e/2f/2","['P:C', ':""G""B/2d/2G/2d/2 B/2d/2G/2d/2', '""D""c/2e/2d/2c/2 ""G""B/2G/2G/2d/2:', '\
""G""gd/2g/2 B/2g/2d/2g/2']",3201,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Dance of the Polygon,"M:4/4
L:1/4
K:D
""D""D/2d/4c/4d/2d/2 f/2d/2f|""D""a/2f/2a/4g/4f/4e/4 ""A""d/4c/4d/4e/4""D""d/2d/2|\
""D""D/2d/4c/4d/2d/2 f/2d/2f","['""A""g/2g/2""D""f/2f/2 ""A""g/2g/2""D""f', '\
""D""D/2d/4c/4d/2d/2 f/2d/2f', '""A""a/2g/2f/2e/2 ""D""dd', '""D""a/2f/2""A""a/4g/4f/4e/4 ""D""d""A""f']",2013,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
