title,input,choices,target,target_index,task_description,error
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef gfe | fed edB | d>ef Ebfe | fed e3 | def | fed edB | AGA BAG | D##2 F G3 :","[4, 2, 3, 5]",257,2,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_3:g→Eb(key=G), enharmonic_error_in_measure_8:E2→D##2, invalid_duration_in_measure_5:shortened(0.75→0.5)"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>F#f gFe | fed D##dB | d>ef gfe | feF e3 | def gfe | fed eBbB | AGA BAG | E2 F G3 :","[4, 5, 2, 1]",12358,1,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_1:e→F#(12度/18半音), enharmonic_error_in_measure_2:E→D##, excessive_leap_≥10th_in_measure_4:d→F(11度/17半音), invalid_note_name_in_key_6:d→Bb(key=G), excessive_leap_≥10th_in_measure_1:f→F(12度/19半音)"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef gfe d>ef gfe | fGd edB | d>ef gfe | fed e3 | def gfe | fed edB | AGA AAG | E2 F G3 :","[3, 2, 1, 5]",567,0,Identify inserted errors in the provided ABC score,"invalid_note_name_in_key_7:B→A(key=G), excessive_leap_≥10th_in_measure_2:e→G(12度/19半音), invalid_duration_in_measure_1:lengthened(0.75→1.12)"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef F#fe | fed edB | d>ef gfe | fed F#3 | def gfe | fed edB | AGA BAb#G | E2 F G3 :","[4, 5, 1, 3]",1268,0,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_7:A→G##, excessive_leap_≥10th_in_measure_1:g→F#(12度/18半音), invalid_note_name_in_key_4:e3→F#3(key=G), enharmonic_error_in_measure_7:G#→Ab"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef gfe | fed edB | d>ef gfe | fC#d e3 | def gfe | fed edB | G##GA BAG | E2 F G3 :","[3, 2, 4, 5]",68,1,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_7:A→G##, invalid_note_name_in_key_4:e→C#(key=G)"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>D##f gfe | fed edFb | d>ef gfe | fed e3 | def gfe | fed edB Ebed edB | AGA | E2 F G3 :","[1, 3, 2, 5]",12357,3,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_7:shortened(0.75→0.62), enharmonic_error_in_measure_1:E→D##, invalid_note_name_in_key_2:B→Fb(key=G), invalid_duration_in_measure_6:lengthened(0.75→1.0), invalid_note_name_in_key_6:f→Eb(key=G)"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef gfe | fed edB | d>ef gfe | fed e3 | def gfe | feG edB | GbGA BAG | E2 F G3 :","[3, 2, 4, 5]",23,1,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_6:d→G(11度/17半音), invalid_note_name_in_key_7:A→Gb(key=G)"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef gfe | fed edB | d>ef gfe | fed e3 | dD##f gfe | fed eE#B | AGA BAG | E2 F G3 :","[4, 5, 1, 3]",14578,1,Identify inserted errors in the provided ABC score,"invalid_note_in_measure_5:f→O#, invalid_note_in_measure_7:A→H, invalid_note_in_measure_8:G3→Z5, invalid_note_name_in_key_6:d→E#(key=G), enharmonic_error_in_measure_5:E→D##"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef gfe | fed edB | d>ef gfe | fed e3 | def gfe | fed edB | AEA BAG | E2 F G3 :","[3, 4, 1, 5]",368,0,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_7:G→E(12度/19半音), invalid_note_in_measure_3:g→T''', invalid_note_in_measure_7:E→Y#"
Irishman_40080,"L: 1/8
M: 6/8
K: G
: d>ef gfe | fed edB | d>ef gfe | fed e3 | def gfe | fD##d edB | AGA BAG | E2 F G3 :","[4, 3, 1, 2]",45,3,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_6:E→D##, invalid_note_in_measure_1:f→R##9"
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | ABA AFD | DGG BAG | (3E#/E/D/ EF A3 | ABA ABc | ABG AFD | Bdg G3 | cAF G3 ::","[2, 5, 1, 4]",7,2,Identify inserted errors in the provided ABC score,enharmonic_error_in_measure_4:F→E#
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | G##BA AFD | DGG BF#G | (3F/E/D/ EF A3 | ABA ABB# | ABG AFD | Bdg G3 Bdg G3 | cAF G3 ::","[5, 4, 1, 2]",1257,1,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_3:A→F#(11度/17半音), enharmonic_error_in_measure_5:C→B#, invalid_duration_in_measure_7:lengthened(0.42→0.67), enharmonic_error_in_measure_2:A→G##"
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | ABA AFD | DGG BG##G | (3F/E/D/ EF A3 | ABA ABc | ABG AFD | Bdg G3 | cAF G3 ::","[5, 4, 2, 1]",7,3,Identify inserted errors in the provided ABC score,enharmonic_error_in_measure_3:A→G##
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA | ABA AFD | DGG BAG | (3F/A#/D/ EF A3 | ABA ABc | ABG AFD ABG AFD | Bdg G3 | cAF G3 ::","[1, 2, 5, 4]",26,1,Identify inserted errors in the provided ABC score,"excessive_leap_≥10th_in_measure_4:E→A#(11度/17半音), invalid_duration_in_measure_6:lengthened(0.75→1.0)"
Irishman_199283,"L: 1/8
M: 6/8
K: G
Wn3BA G##BA | ABA AFD | DGG BAG | (3F/E/D/ EF A3 | ABA ABB# | ABG AFD | Bdg G3 | cAF G3 ::","[3, 4, 2, 1]",2457,1,Identify inserted errors in the provided ABC score,"enharmonic_error_in_measure_5:C→B#, invalid_note_in_measure_1:A→Wn3, invalid_note_in_measure_4:F→Wn3, enharmonic_error_in_measure_1:A→G##"
Irishman_199283,"L: 1/8
M: 6/8
K: G
ABA ABA ABA ABA | ABA AFD | DGG BG##G | (3F/E/D/ EF A3 | ABA ABc | ABG AFD ABG AFD | Bdg G3 | cAF G3 ::","[4, 3, 2, 5]",137,1,Identify inserted errors in the provided ABC score,"invalid_duration_in_measure_6:lengthened(0.75→1.0), invalid_duration_in_measure_1:lengthened(0.75→1.0), enharmonic_error_in_measure_3:A→G##"
